date,code,open,high,low,close,preclose,volume,amount,pctChg
2017-01-03,sh.000037,5953.5280,5991.2190,5940.8550,5991.2190,5954.0900,231164100,4333871616.0000,0.623600
2017-01-04,sh.000037,5985.1330,6018.3590,5972.5910,6013.2050,5991.2190,223944100,4450815488.0000,0.367000
2017-01-05,sh.000037,6011.9300,6016.5060,5996.3960,6000.7450,6013.2050,179338000,3381949232.0000,-0.207200
2017-01-06,sh.000037,5998.1750,6000.6980,5942.9390,5949.9300,6000.7450,201308700,4031040592.0000,-0.846800
2017-01-09,sh.000037,5951.5770,5965.7330,5936.6400,5957.5670,5949.9300,211157100,4037865072.0000,0.128300
2017-01-10,sh.000037,5958.6920,5972.7560,5945.0640,5953.1270,5957.5670,205111300,3775729904.0000,-0.074500
2017-01-11,sh.000037,5945.8170,5970.7880,5918.7000,5920.9700,5953.1270,208428100,3491384560.0000,-0.540200
2017-01-12,sh.000037,5917.7860,5927.2370,5865.2480,5871.2950,5920.9700,201432100,3428189264.0000,-0.839000
2017-01-13,sh.000037,5867.5520,5874.3730,5838.3500,5867.9160,5871.2950,202908400,3606490560.0000,-0.057500
2017-01-16,sh.000037,5850.8420,5858.9090,5770.0090,5855.1410,5867.9160,420470608,7317119744.0000,-0.217700
2017-01-17,sh.000037,5834.2600,5862.8480,5803.1870,5858.6050,5855.1410,190955000,3323824064.0000,0.059200
2017-01-18,sh.000037,5856.6700,5881.6110,5849.5970,5870.3050,5858.6050,159630600,2961914128.0000,0.199700
2017-01-19,sh.000037,5866.3650,5885.9600,5855.7310,5870.5940,5870.3050,144300700,2534080160.0000,0.004900
2017-01-20,sh.000037,5868.4030,5925.7590,5865.0870,5918.1020,5870.5940,191530900,3273911184.0000,0.809300
2017-01-23,sh.000037,5920.6050,5952.5830,5920.3690,5941.0940,5918.1020,171027500,3014213824.0000,0.388500
2017-01-24,sh.000037,5937.8980,5938.6660,5910.3920,5916.2710,5941.0940,162712900,2751430720.0000,-0.417800
2017-01-25,sh.000037,5915.1580,5970.5280,5909.8880,5966.9000,5916.2710,162326500,2948313792.0000,0.855800
2017-01-26,sh.000037,5970.0420,5995.0970,5970.0420,5987.8200,5966.9000,155413100,2881222272.0000,0.350600
2017-02-03,sh.000037,5990.7990,5995.3680,5955.3080,5986.6800,5987.8200,123549800,2283083168.0000,-0.019000
2017-02-06,sh.000037,5982.1420,6015.6860,5980.0100,5997.2520,5986.6800,185204800,3645238832.0000,0.176600
2017-02-07,sh.000037,5994.8680,5994.8680,5963.5960,5986.7500,5997.2520,154362600,2954587056.0000,-0.175100
2017-02-08,sh.000037,5987.6550,6000.3190,5957.7850,5996.0640,5986.7500,158976200,2936094864.0000,0.155600
2017-02-09,sh.000037,5999.8280,6010.3110,5970.4640,5988.0370,5996.0640,224520700,4169485056.0000,-0.133900
2017-02-10,sh.000037,5988.5030,5996.0570,5968.1720,5975.7460,5988.0370,230372100,4072885296.0000,-0.205300
2017-02-13,sh.000037,5976.4910,5997.5080,5960.2730,5996.1160,5975.7460,276065504,4813896448.0000,0.340900
2017-02-14,sh.000037,5995.6110,5996.4040,5974.2930,5992.5670,5996.1160,219101500,4044573728.0000,-0.059200
2017-02-15,sh.000037,5992.0350,5997.7220,5928.2410,5934.1290,5992.5670,271462096,4474290432.0000,-0.975200
2017-02-16,sh.000037,5927.8670,5963.2970,5924.9640,5962.0830,5934.1290,197018000,3435632816.0000,0.471100
2017-02-17,sh.000037,5965.2320,5966.9080,5910.9490,5913.3380,5962.0830,235828500,3722202736.0000,-0.817600
2017-02-20,sh.000037,5913.3290,5980.3650,5913.3290,5979.0500,5913.3380,264337100,4954963712.0000,1.111200
2017-02-21,sh.000037,5983.6540,6021.6960,5983.5910,6020.1600,5979.0500,273005808,5029456896.0000,0.687600
2017-02-22,sh.000037,6025.5890,6043.0520,6012.6130,6042.5130,6020.1600,262955200,5031944448.0000,0.371300
2017-02-23,sh.000037,6037.3930,6135.9120,6027.6100,6124.1780,6042.5130,511853696,9359645184.0000,1.351500
2017-02-24,sh.000037,6137.3410,6163.3650,6121.9010,6143.3840,6124.1780,408750000,7790491648.0000,0.313600
2017-02-27,sh.000037,6144.9110,6149.7990,6104.5710,6117.1440,6143.3840,408536400,6904401408.0000,-0.427100
2017-02-28,sh.000037,6109.6650,6123.1180,6083.8870,6107.3220,6117.1440,261824900,4737562112.0000,-0.160600
2017-03-01,sh.000037,6104.8000,6135.5140,6089.8550,6094.1340,6107.3220,333378000,6202612992.0000,-0.215900
2017-03-02,sh.000037,6096.6870,6104.5840,6064.5650,6067.3010,6094.1340,263306100,4733995008.0000,-0.440300
2017-03-03,sh.000037,6060.6220,6076.8980,6048.3580,6076.6810,6067.3010,219347200,4035452016.0000,0.154600
2017-03-06,sh.000037,6076.7060,6103.8550,6069.7620,6100.1710,6076.6810,244904900,4493420800.0000,0.386600
2017-03-07,sh.000037,6102.1640,6137.5750,6095.2400,6136.3860,6100.1710,258899600,4916582656.0000,0.593700
2017-03-08,sh.000037,6127.6960,6140.0120,6113.9600,6124.5560,6136.3860,218431100,4076816816.0000,-0.192800
2017-03-09,sh.000037,6126.1780,6126.3230,6069.7320,6072.3600,6124.5560,234034700,4240757072.0000,-0.852200
2017-03-10,sh.000037,6071.8060,6107.5310,6071.4820,6099.0800,6072.3610,207397600,4434688256.0000,0.440000
2017-03-13,sh.000037,6088.2610,6135.1540,6067.5450,6133.8330,6099.0800,262811000,5760378880.0000,0.569800
